Web Search interest: google
Worldwide; 2004 - present

Interest over time
Week,google
2004-01-04 - 2004-01-10,6
2004-01-11 - 2004-01-17,6
2004-01-18 - 2004-01-24,6
2004-01-25 - 2004-01-31,6
2004-02-01 - 2004-02-07,6
2004-02-08 - 2004-02-14,6
2004-02-15 - 2004-02-21,6
2004-02-22 - 2004-02-28,6
2004-02-29 - 2004-03-06,6
2004-03-07 - 2004-03-13,6
2004-03-14 - 2004-03-20,6
2004-03-21 - 2004-03-27,6
2004-03-28 - 2004-04-03,9
2004-04-04 - 2004-04-10,8
2004-04-11 - 2004-04-17,7
2004-04-18 - 2004-04-24,7
2004-04-25 - 2004-05-01,8
2004-05-02 - 2004-05-08,8
2004-05-09 - 2004-05-15,7
2004-05-16 - 2004-05-22,7
2004-05-23 - 2004-05-29,7
2004-05-30 - 2004-06-05,7
2004-06-06 - 2004-06-12,7
2004-06-13 - 2004-06-19,7
2004-06-20 - 2004-06-26,7
2004-06-27 - 2004-07-03,7
2004-07-04 - 2004-07-10,7
2004-07-11 - 2004-07-17,7
2004-07-18 - 2004-07-24,7
2004-07-25 - 2004-07-31,7
2004-08-01 - 2004-08-07,6
2004-08-08 - 2004-08-14,7
2004-08-15 - 2004-08-21,9
2004-08-22 - 2004-08-28,7
2004-08-29 - 2004-09-04,7
2004-09-05 - 2004-09-11,7
2004-09-12 - 2004-09-18,7
2004-09-19 - 2004-09-25,7
2004-09-26 - 2004-10-02,7
2004-10-03 - 2004-10-09,7
2004-10-10 - 2004-10-16,8
2004-10-17 - 2004-10-23,8
2004-10-24 - 2004-10-30,8
2004-10-31 - 2004-11-06,7
2004-11-07 - 2004-11-13,9
2004-11-14 - 2004-11-20,8
2004-11-21 - 2004-11-27,8
2004-11-28 - 2004-12-04,7
2004-12-05 - 2004-12-11,8
2004-12-12 - 2004-12-18,8
2004-12-19 - 2004-12-25,9
2004-12-26 - 2005-01-01,8
2005-01-02 - 2005-01-08,9
2005-01-09 - 2005-01-15,8
2005-01-16 - 2005-01-22,8
2005-01-23 - 2005-01-29,8
2005-01-30 - 2005-02-05,8
2005-02-06 - 2005-02-12,9
2005-02-13 - 2005-02-19,9
2005-02-20 - 2005-02-26,9
2005-02-27 - 2005-03-05,8
2005-03-06 - 2005-03-12,9
2005-03-13 - 2005-03-19,9
2005-03-20 - 2005-03-26,9
2005-03-27 - 2005-04-02,9
2005-04-03 - 2005-04-09,11
2005-04-10 - 2005-04-16,10
2005-04-17 - 2005-04-23,11
2005-04-24 - 2005-04-30,10
2005-05-01 - 2005-05-07,11
2005-05-08 - 2005-05-14,10
2005-05-15 - 2005-05-21,11
2005-05-22 - 2005-05-28,10
2005-05-29 - 2005-06-04,10
2005-06-05 - 2005-06-11,10
2005-06-12 - 2005-06-18,10
2005-06-19 - 2005-06-25,11
2005-06-26 - 2005-07-02,14
2005-07-03 - 2005-07-09,15
2005-07-10 - 2005-07-16,19
2005-07-17 - 2005-07-23,20
2005-07-24 - 2005-07-30,21
2005-07-31 - 2005-08-06,20
2005-08-07 - 2005-08-13,23
